userId,movieId,rating,timestamp
121606,3370,5.0,959093528
112902,3793,3.0,1356649587
18600,802,4.0,858687041
88790,79599,3.0,1282317038
11312,7236,2.5,1328642917
860,3535,3.0,1111539243
98623,1645,4.0,1032149231
88432,1302,3.5,1228421338
73684,1019,3.0,962205857
64403,1973,1.0,1021610199
55262,1281,3.0,974764621
101418,5114,4.0,1338661038
135269,1287,4.5,1350341088
89464,96281,3.5,1439838363
155780,54503,4.0,1295841627
101511,29,4.0,1267678267
38935,1334,4.0,1114546321
67938,4995,3.5,1134507066
22441,1566,4.0,1014469048
70145,100714,3.0,1413105229
25339,1231,4.0,850490112
76550,166024,3.0,1541857967
26438,5038,2.0,1516642131
112101,3635,4.0,958357489
118196,3476,4.0,1321643479
23405,589,2.5,1094413850
107380,2687,3.0,1515250835
7982,40815,4.0,1144369875
110127,527,5.0,1008102851
131459,356,4.0,1103063386
93246,349,3.0,1047330922
122452,107348,1.5,1449969908
142712,65216,4.0,1482966953
116135,183843,3.5,1558633742
129204,3753,3.5,1079143605
149294,539,2.5,1326121292
131898,58293,3.0,1308573320
34884,2535,4.0,1110684503
35844,2291,3.0,1489360871
42497,318,4.0,1453608001
14657,440,5.0,956182275
85053,265,4.0,1056331802
139543,2161,4.0,965760463
99774,170235,4.5,1517696224
35316,6184,3.0,1042751855
109480,5439,4.0,1036887260
148261,1,3.5,1163100399
71403,3556,4.0,1521839260
34180,44199,3.5,1477262682
37059,4973,5.0,1463508644
42328,2463,5.0,1072201724
22363,858,5.0,1309670150
133514,2677,4.0,1040175653
119156,783,3.0,1308919938
48636,8970,5.0,1223969882
52520,32,3.0,1211762804
129830,162414,4.5,1485982227
150425,95088,3.0,1444533280
102454,1210,5.0,900692883
139975,5160,3.0,1219361380
122489,1,3.0,1483533571
92953,2078,3.5,1125992236
141617,5485,4.0,1043530240
125945,34150,1.5,1241022339
149509,4268,1.0,1008099722
30813,2717,3.0,1152733703
12362,2294,2.5,1477854412
30417,4416,2.5,1093634621
34336,508,4.0,1235098312
104160,153,3.0,832417238
50962,2100,3.5,1153946891
142938,3063,3.0,1130908675
132150,2539,4.0,945297051
4873,2078,4.0,1007732674
119746,841,3.0,1537652448
118041,47,5.0,1453916088
67920,48516,5.0,1447987242
15888,35,4.0,1028409897
99984,2762,4.5,1513901708
119592,491,1.0,1081279333
47449,1645,1.5,1200107618
58626,3174,5.0,965527567
9569,1246,4.0,955155353
160746,5418,5.0,1199806004
36883,2393,2.0,1017934820
157681,356,1.0,1385595930
127752,8950,3.5,1149624166
64583,1497,1.0,1178148078
106277,628,3.0,854635240
18534,59369,4.0,1450726679
158448,48774,3.0,1461975754
4914,91500,3.5,1541821864
124414,41566,3.5,1439847900
141220,802,1.5,1111572213
144714,59615,3.5,1471893930
141934,45668,3.0,1290915420
25888,31410,4.5,1461559199
130612,5791,5.0,1089984728
39055,86882,4.0,1446731713
130124,96829,4.5,1400522223
12869,1222,3.5,1447594530
11305,1183,2.0,1173857271
31761,14,4.0,864571235
28780,5478,2.0,1216725407
53999,2916,5.0,992316684
151195,231,4.0,1493773270
104417,187593,3.5,1531367669
59591,589,4.0,1513342971
9826,3100,4.0,956941585
105031,3616,3.0,1013569476
116945,1333,4.0,1037169211
108304,5944,2.5,1279900853
29676,7361,4.5,1172016451
52703,445,0.5,1456029906
87735,1962,4.0,1018929536
114827,593,4.0,958305644
58518,5,3.0,857840390
148770,5034,4.0,1014564965
4532,48,3.0,1077176432
7029,597,1.0,1085433037
68220,4720,2.0,1051541005
35898,3175,3.0,1483042802
72649,145,3.0,968033187
55704,4017,3.5,1296741701
80188,2076,4.0,1422563735
109326,3273,3.5,1318941826
142734,98809,2.5,1446003266
69890,88140,3.5,1525663847
15526,53996,2.0,1461898680
158186,160,3.0,844151244
122609,46965,1.5,1520739846
148538,40339,3.5,1234273063
142533,2203,5.0,1436231284
152637,85022,3.5,1311464621
152711,1950,4.0,1019711482
109994,2012,2.0,1116865573
79883,8970,5.0,1170520862
137367,116307,4.0,1438510943
117185,152017,3.0,1499737965
134760,112852,2.0,1465751371
121260,273,1.0,884901677
